City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,41.02,87,0,4.61,clear sky
1,Bethel,US,41.3712,-73.414,50.68,90,100,11.5,overcast clouds
2,Vaini,TO,-21.2,-175.2,77.16,100,75,3.44,light intensity shower rain
3,Busselton,AU,-33.65,115.3333,65.44,59,65,4.09,broken clouds
4,Pevek,RU,69.7008,170.3133,-3.3,98,100,8.52,overcast clouds
5,Ayan,RU,56.45,138.1667,23.25,85,100,4.54,overcast clouds
6,Avarua,CK,-21.2078,-159.775,80.65,83,40,5.75,scattered clouds
7,Liku,ID,-0.7275,119.8922,75.34,90,100,1.79,overcast clouds
8,Klaksvik,FO,62.2266,-6.589,38.32,73,100,34.0,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,63.25,54,78,10.33,broken clouds
10,Shubarkuduk,KZ,49.1447,56.4872,52.41,52,6,7.56,clear sky
11,Nuevo Progreso,MX,23.1667,-97.95,72.54,40,60,5.99,broken clouds
12,Mao,ES,39.8885,4.2658,64.96,59,0,11.5,clear sky
13,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,26.46,broken clouds
14,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,88,100,22.08,overcast clouds
15,Albany,US,42.6001,-73.9662,47.39,91,100,5.99,moderate rain
16,Makakilo City,US,21.3469,-158.0858,72.19,72,20,11.5,few clouds
17,Adrar,MR,20.5022,-10.0711,90.7,11,0,14.38,clear sky
18,Ushuaia,AR,-54.8,-68.3,40.62,75,20,10.36,few clouds
19,Port Alfred,ZA,-33.5906,26.891,62.19,71,26,7.0,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,45.9,74,89,5.73,overcast clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,60.82,90,75,14.97,broken clouds
22,Cabo San Lucas,MX,22.8909,-109.9124,71.51,74,24,3.0,few clouds
23,La Ronge,CA,55.1001,-105.2842,26.82,68,0,3.44,clear sky
24,Jamestown,US,42.097,-79.2353,48.94,77,100,6.91,light rain
25,Svetlogorsk,BY,52.6333,29.7333,59.9,60,93,11.99,overcast clouds
26,Murray Bridge,AU,-35.1167,139.2667,62.13,89,1,6.17,clear sky
27,East London,ZA,-33.0153,27.9116,67.14,59,0,24.16,clear sky
28,Imbituba,BR,-28.24,-48.6703,81.82,63,69,11.45,broken clouds
29,Hermanus,ZA,-34.4187,19.2345,66.79,60,32,11.25,scattered clouds
30,Tautira,PF,-17.7333,-149.15,80.98,78,21,17.16,light rain
31,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,65,0,3.44,clear sky
32,Dauphin,CA,51.1494,-100.0502,32.14,86,75,17.27,broken clouds
33,Hakkari,TR,37.5833,44.1667,47.98,66,75,10.36,dust
34,Sioux Lookout,CA,50.1001,-91.917,24.87,68,100,16.11,overcast clouds
35,Airai,TL,-8.9266,125.4092,59.83,92,90,2.73,overcast clouds
36,Casian,PH,11.035,119.7136,80.06,79,96,8.99,overcast clouds
37,Asau,RO,46.4333,26.4,60.96,31,100,5.14,overcast clouds
38,Vardo,NO,70.3705,31.1107,33.78,93,75,20.71,light snow
39,Kudahuvadhoo,MV,2.6708,72.8944,84.07,66,58,1.68,broken clouds
40,Umm Kaddadah,SD,13.6017,26.6876,101.68,6,0,12.77,clear sky
41,Tabuk,PH,17.4189,121.4443,72.01,93,72,4.21,broken clouds
42,Bandar-E Lengeh,IR,26.5579,54.8807,86.11,37,0,9.22,clear sky
43,Hithadhoo,MV,-0.6,73.0833,82.9,62,8,2.06,clear sky
44,Shache,CN,38.4167,77.2406,73.62,12,4,9.26,clear sky
45,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,20,11.5,few clouds
46,Yellowknife,CA,62.456,-114.3525,26.29,85,75,10.36,broken clouds
47,Severo-Kurilsk,RU,50.6789,156.125,30.02,90,100,8.39,overcast clouds
48,Mahebourg,MU,-20.4081,57.7,79.25,83,40,9.22,scattered clouds
49,Castro,BR,-24.7911,-50.0119,70.11,77,98,4.85,overcast clouds
50,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,75,4.61,broken clouds
51,Longyearbyen,SJ,78.2186,15.6401,12.04,62,20,8.05,few clouds
52,Salinopolis,BR,-0.6136,-47.3561,79.47,85,100,2.86,overcast clouds
53,Port Hardy,CA,50.6996,-127.4199,46.4,81,75,18.41,broken clouds
54,Carnarvon,AU,-24.8667,113.6333,77.07,83,98,11.5,overcast clouds
55,Tura,IN,25.5198,90.2201,75.07,68,0,4.9,clear sky
56,Ponta Do Sol,PT,32.6667,-17.1,66.83,88,50,1.7,scattered clouds
57,Dikson,RU,73.5069,80.5464,2.82,97,100,11.05,overcast clouds
58,Kavieng,PG,-2.5744,150.7967,81.25,77,100,4.81,light rain
59,Ostrovnoy,RU,68.0531,39.5131,25.16,84,75,8.99,broken clouds
60,Aklavik,CA,68.2191,-135.0107,12.2,79,75,3.44,broken clouds
61,Cape Town,ZA,-33.9258,18.4232,67.87,55,20,19.57,few clouds
62,Santa Ana,US,33.7456,-117.8678,80.46,25,40,1.01,mist
63,Hilo,US,19.7297,-155.09,71.33,88,100,6.91,heavy intensity rain
64,Rikitea,PF,-23.1203,-134.9692,78.93,66,5,14.76,clear sky
65,Butaritari,KI,3.0707,172.7902,80.73,81,99,15.9,light rain
66,Hovd,MN,48.0056,91.6419,53.4,27,23,10.22,few clouds
67,Inhambane,MZ,-23.865,35.3833,80.91,69,31,9.75,scattered clouds
68,Sitka,US,57.0531,-135.33,44.49,61,100,24.16,light rain
69,Qaanaaq,GL,77.484,-69.3632,-1.32,78,46,6.78,scattered clouds
70,Esperance,AU,-33.8667,121.9,64.24,64,43,17.16,scattered clouds
71,Charters Towers,AU,-20.1,146.2667,71.64,81,12,7.81,few clouds
72,Sooke,CA,48.3746,-123.7276,47.77,72,100,14.97,overcast clouds
73,Birobidzhan,RU,48.8,132.95,24.22,88,83,7.43,broken clouds
74,Taurage,LT,55.2522,22.2897,54.55,67,100,14.41,overcast clouds
75,Flin Flon,CA,54.7682,-101.865,28.24,86,20,3.44,few clouds
76,Santa Fe,AR,-31.6333,-60.7,73.99,85,79,3.0,light rain
77,Lorengau,PG,-2.0226,147.2712,80.64,85,98,16.62,overcast clouds
78,Barrow,US,71.2906,-156.7887,-2.18,78,100,9.22,overcast clouds
79,Polovinnoye,RU,54.7914,65.9864,38.57,90,100,11.77,overcast clouds
80,Manoel Urbano,BR,-8.8389,-69.2597,77.25,96,100,2.59,overcast clouds
81,Cabra,ES,37.4725,-4.4421,64.17,48,0,7.34,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,43,9.26,scattered clouds
83,Muisne,EC,0.6,-80.0333,81.03,75,81,9.95,broken clouds
84,Alice Springs,AU,-23.7,133.8833,62.15,42,0,9.22,clear sky
85,Komsomolskiy,UZ,40.4272,71.7189,79.52,24,100,4.61,overcast clouds
86,Yining,CN,29.0361,114.5636,64.26,64,0,2.39,clear sky
87,La Rioja,ES,42.25,-2.5,56.98,35,100,13.53,overcast clouds
88,Kavaratti,IN,10.5669,72.642,84.09,71,68,10.07,broken clouds
89,Bengkulu,ID,-3.8004,102.2655,75.22,82,98,3.56,overcast clouds
90,Ginda,IN,30.6945,78.4932,61.54,28,2,8.03,clear sky
91,Rio Blanco,MX,18.8333,-97.15,76.15,48,100,6.85,overcast clouds
92,Tiksi,RU,71.6872,128.8694,-9.13,100,90,1.01,overcast clouds
93,Turinsk,RU,58.0458,63.696,34.2,76,100,11.16,overcast clouds
94,Victoria,HK,22.2855,114.1577,74.17,68,1,15.01,clear sky
95,Norman Wells,CA,65.282,-126.8329,8.64,78,0,8.05,clear sky
96,Atikokan,CA,48.7555,-91.6216,27.48,92,100,15.28,light snow
97,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,80.26,49,0,4.09,clear sky
98,Atuona,PF,-9.8,-139.0333,78.67,76,20,17.16,few clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,80.56,76,60,8.88,broken clouds
100,Finschhafen,PG,-6.6024,147.8681,78.96,84,99,3.96,overcast clouds
101,Paracuru,BR,-3.41,-39.0306,81.1,79,86,11.86,overcast clouds
102,Touros,BR,-5.1989,-35.4608,87.13,62,48,14.38,scattered clouds
103,Ocoee,US,28.5692,-81.544,81.09,70,39,18.45,scattered clouds
104,Tarabha,IN,20.7333,83.65,90.12,16,11,1.63,few clouds
105,Harper,LR,4.375,-7.7169,84.83,67,100,8.21,overcast clouds
106,Ternate,ID,0.8,127.4,81.34,80,97,8.12,overcast clouds
107,Coihaique,CL,-45.5752,-72.0662,45.21,87,100,3.44,overcast clouds
108,Kapaa,US,22.0752,-159.319,72.12,85,20,16.11,few clouds
109,Maltahohe,NA,-24.8333,16.9833,82.31,14,7,4.05,clear sky
110,Osa,RU,57.2829,55.4567,32.56,90,23,12.88,few clouds
111,Cherskiy,RU,68.75,161.3,-23.4,100,54,2.53,broken clouds
112,Mahajanga,MG,-15.7167,46.3167,82.54,72,27,8.03,scattered clouds
113,Marzuq,YE,14.4,46.4667,77.2,35,44,13.04,scattered clouds
114,Zhangye,CN,38.9342,100.4517,60.93,10,41,6.13,scattered clouds
115,Shakawe,BW,-18.3667,21.85,89.65,25,0,4.16,clear sky
116,Buin,CL,-33.7333,-70.75,72.05,24,0,2.98,clear sky
117,Nurota,UZ,40.5614,65.6886,70.36,34,100,8.12,overcast clouds
118,Saldanha,ZA,-33.0117,17.9442,69.85,65,74,24.29,broken clouds
119,Faya,SA,18.3851,42.4509,80.71,16,0,3.83,clear sky
120,Katherine,AU,-14.4667,132.2667,73.72,64,61,2.3,broken clouds
121,Eureka,US,40.8021,-124.1637,45.79,72,7,4.36,clear sky
122,Provideniya,RU,64.3833,-173.3,-7.92,93,92,3.11,overcast clouds
123,Upernavik,GL,72.7868,-56.1549,5.34,91,88,4.09,overcast clouds
124,Chuy,UY,-33.6971,-53.4616,74.32,47,100,6.22,overcast clouds
125,Hami,CN,42.8,93.45,69.8,12,5,7.49,clear sky
