City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-04-04 18:31:50,-53.15,-70.9167,44.62,70,20,29.93
1,Cherskiy,RU,2022-04-04 18:31:54,68.75,161.3,-22.85,99,71,1.86
2,Buraydah,SA,2022-04-04 18:31:54,26.326,43.975,82.85,9,48,9.8
3,Albany,US,2022-04-04 18:30:10,42.6001,-73.9662,50.88,49,99,1.99
4,Hambantota,LK,2022-04-04 18:29:51,6.1241,81.1185,75.54,100,40,4.61
5,New Norfolk,AU,2022-04-04 18:31:54,-42.7826,147.0587,55.65,77,100,1.57
6,Boca Do Acre,BR,2022-04-04 18:31:55,-8.7522,-67.3978,85.71,63,100,1.95
7,Los Llanos De Aridane,ES,2022-04-04 18:31:55,28.6585,-17.9182,60.55,74,40,16.11
8,Saskylakh,RU,2022-04-04 18:31:57,71.9167,114.0833,-6.07,98,100,7.18
9,Luwuk,ID,2022-04-04 18:31:57,-0.9516,122.7875,77.29,85,100,3.18
10,Puerto Ayora,EC,2022-04-04 18:31:57,-0.7393,-90.3518,82.54,89,55,4.0
11,Mataura,NZ,2022-04-04 18:31:58,-46.1927,168.8643,52.27,82,100,3.36
12,Tuktoyaktuk,CA,2022-04-04 18:31:58,69.4541,-133.0374,-16.6,69,75,9.22
13,Launceston,AU,2022-04-04 18:31:06,-41.45,147.1667,56.84,71,40,10.36
14,Deder,ET,2022-04-04 18:31:58,9.3167,41.45,62.98,33,18,3.51
15,San Rafael,AR,2022-04-04 18:31:59,-34.6177,-68.3301,77.11,15,0,12.01
16,San Carlos De Bariloche,AR,2022-04-04 18:30:11,-41.1456,-71.3082,55.15,44,75,23.02
17,Dingle,PH,2022-04-04 18:31:59,10.9995,122.6711,76.55,89,100,6.82
18,Saquarema,BR,2022-04-04 18:31:15,-22.92,-42.5103,86.14,81,8,9.86
19,Ushuaia,AR,2022-04-04 18:27:07,-54.8,-68.3,40.66,65,40,18.41
20,Shklo,UA,2022-04-04 18:32:00,49.9567,23.5441,32.36,63,17,14.03
21,Lagoa,PT,2022-04-04 18:29:21,39.05,-27.9833,59.45,64,100,9.31
22,Laguna,US,2022-04-04 18:32:00,38.421,-121.4238,66.49,56,0,8.05
23,Kiunga,PG,2022-04-04 18:32:00,-6.1219,141.2906,71.46,100,100,2.3
24,Iranshahr,IR,2022-04-04 18:32:01,27.2025,60.6848,84.54,8,0,0.0
25,Khandyga,RU,2022-04-04 18:27:26,62.6667,135.6,-3.71,97,99,2.57
26,Severo-Kurilsk,RU,2022-04-04 18:28:30,50.6789,156.125,33.28,82,10,8.99
27,Sitka,US,2022-04-04 18:28:29,57.0531,-135.33,40.89,75,20,4.61
28,Qaanaaq,GL,2022-04-04 18:32:02,77.484,-69.3632,21.78,75,100,7.67
29,Shimoda,JP,2022-04-04 18:28:47,34.6667,138.95,45.1,81,73,10.56
30,Nelson Bay,AU,2022-04-04 18:32:02,-32.7167,152.15,61.09,93,0,9.01
31,Souillac,MU,2022-04-04 18:27:37,-20.5167,57.5167,79.18,83,75,9.22
32,Saint George,US,2022-04-04 18:23:10,37.1041,-113.5841,71.8,30,0,3.44
33,Yellowknife,CA,2022-04-04 18:32:03,62.456,-114.3525,36.41,61,75,11.5
34,Jamestown,US,2022-04-04 18:32:03,42.097,-79.2353,46.02,50,75,6.91
35,Karratha,AU,2022-04-04 18:32:03,-20.7377,116.8463,82.29,66,0,11.32
36,Kasangulu,CD,2022-04-04 18:32:04,-4.5911,15.1708,74.79,86,70,2.24
37,Nantucket,US,2022-04-04 18:21:38,41.2835,-70.0995,52.02,43,0,12.66
38,Cape Town,ZA,2022-04-04 18:30:45,-33.9258,18.4232,63.88,87,20,10.36
39,Leningradskiy,RU,2022-04-04 18:29:11,69.3833,178.4167,-14.17,99,100,4.56
